"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",12,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",1490,25.2542372881356
"2",12,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",918,34
"3",12,"Alaska Airlines Inc.","Adak Island, AK: Adak",159,17.6666666666667
"4",12,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1408,13.2830188679245
"5",12,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",475,23.75
"6",12,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",1251,41.7
"7",12,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",597,5.85294117647059
"8",12,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",2566,27.5913978494624
"9",12,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",345,10.1470588235294
"10",12,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",902,9.91208791208791
"11",12,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",1386,15.2307692307692
"12",12,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",898,12.3013698630137
"13",12,"American Airlines Inc.","Albany, NY: Albany International",72,0.888888888888889
"14",12,"Delta Air Lines Inc.","Albany, NY: Albany International",1202,10.6371681415929
"15",12,"ExpressJet Airlines Inc.","Albany, NY: Albany International",107,6.6875
"16",12,"JetBlue Airways","Albany, NY: Albany International",1007,16.241935483871
"17",12,"SkyWest Airlines Inc.","Albany, NY: Albany International",1352,25.5094339622642
"18",12,"Southwest Airlines Co.","Albany, NY: Albany International",3149,8.33068783068783
"19",12,"United Air Lines Inc.","Albany, NY: Albany International",882,30.4137931034483
"20",12,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",138,4.6
"21",12,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1506,13.4464285714286
"22",12,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",2192,16.3582089552239
"23",12,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",768,17.8604651162791
"24",12,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",464,16
"25",12,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3898,21.4175824175824
"26",12,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",15536,16
"27",12,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",981,11.9634146341463
