"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",1,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",1139,10.7452830188679
"2",1,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",259,12.95
"3",1,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1770,10.0568181818182
"4",1,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",465,9.11764705882353
"5",1,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",1750,34.3137254901961
"6",1,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1742,8.58128078817734
"7",1,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",4514,14.8
"8",1,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",1424,29.0612244897959
"9",1,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2117,9.89252336448598
"10",1,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",175,8.33333333333333
"11",1,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1450,9.73154362416107
"12",1,"American Airlines Inc.","Albany, NY: Albany International",1035,6.99324324324324
"13",1,"Delta Air Lines Inc.","Albany, NY: Albany International",2703,13.121359223301
"14",1,"ExpressJet Airlines Inc.","Albany, NY: Albany International",1978,28.6666666666667
"15",1,"JetBlue Airways","Albany, NY: Albany International",1944,18.6923076923077
"16",1,"SkyWest Airlines Inc.","Albany, NY: Albany International",1281,17.08
"17",1,"Southwest Airlines Co.","Albany, NY: Albany International",4464,7.11961722488038
"18",1,"United Air Lines Inc.","Albany, NY: Albany International",947,8.23478260869565
"19",1,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",144,2.82352941176471
"20",1,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",4069,16.2111553784861
"21",1,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1650,7.97101449275362
"22",1,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",306,6.51063829787234
"23",1,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",853,16.4038461538462
"24",1,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3173,9.88473520249221
"25",1,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",19378,11.1753171856978
